Customer_ID,Days_Since_Last_Login,Avg_Time_Spent,Avg_Transaction_Value,avg_frequency_login_days,medium_of_operation,internet_option
fffe43004900440035003200360038003600,1,100.65,8515.5,6,?,Wi-Fi
fffe43004900440032003600310034003300,22,272.31,42743.44,12,Desktop,Wi-Fi
fffe43004900440033003900390037003900,17,-936.7448179,29156.1,10,?,Fiber_Optic
fffe43004900440034003400380037003600,4,127.37,15719.24,10,?,Wi-Fi
fffe43004900440032003700370033003400,20,162.93,31100.95,11,Desktop,Fiber_Optic
fffe43004900440033003900310035003500,18,498.09,48125.94,27,Desktop,Fiber_Optic
fffe43004900440035003800330038003500,10,185.53,60143.68,4,Desktop,Wi-Fi
fffe43004900440033003300310034003000,11,537.25,1773.49,6,Both,Fiber_Optic
fffe43004900440035003700370038003600,8,198.26,26105.24,7,Desktop,Wi-Fi
fffe43004900440032003200350033003200,9,119.47,10101.48,28,Smartphone,Wi-Fi
fffe43004900440032003200360039003000,15,68.19,21111.9,23,Smartphone,Mobile_Data
fffe43004900440032003900370032003900,3,215.89,41979.65,9,Desktop,Wi-Fi
fffe43004900440033003300300035003500,20,194.85,5912.06,13,Desktop,Wi-Fi
fffe43004900440034003100390036003500,8,706.36,19062.25,Error,Both,Fiber_Optic
fffe43004900440033003100300031003300,15,210.44,35531.98,25,Desktop,Fiber_Optic
fffe43004900440032003700330038003500,4,-930.2078443,8415.63,17,?,Wi-Fi
fffe43004900440034003800390032003200,12,394.26,34697.85,19,Desktop,Wi-Fi
fffe43004900440035003800380039003700,6,348.07,94100.72,4,Desktop,Wi-Fi
fffe4300490044003900300031003500,2,691.09,17989.46,Error,?,Mobile_Data
fffe43004900440033003000360031003100,8,33.09,55607.35,Error,Desktop,Mobile_Data
fffe43004900440035003400340032003500,11,30.78,48080.03,10,Smartphone,Mobile_Data
fffe4300490044003300310034003000,13,282.87,27528.03,27,Both,Fiber_Optic
fffe43004900440032003800320037003300,20,100.42,86433.91,Error,Smartphone,Wi-Fi
fffe43004900440031003700390032003100,18,154.7,24197.4,29,Desktop,Wi-Fi
fffe43004900440031003700370031003300,10,65.25,5136.08,Error,?,Wi-Fi
fffe43004900440033003000380036003300,8,324.75,28535.13,27,Smartphone,Mobile_Data
fffe43004900440034003400300032003800,16,237.39,25000.09,16,Desktop,Fiber_Optic
fffe43004900440033003500310035003600,20,148.24,30984.56,11,Smartphone,Fiber_Optic
fffe43004900440033003800370031003800,16,773.83,9091.94,20,Both,Wi-Fi
fffe43004900440032003700380035003200,13,117.68,19822.82,43.3600415,?,Fiber_Optic
fffe43004900440035003200350035003900,18,251.06,63416.63,12,Smartphone,Fiber_Optic
fffe43004900440035003200350039003200,-999,46.57,24045.93,8,Smartphone,Wi-Fi
fffe43004900440031003200330031003500,12,539.49,49270.76,12,Smartphone,Wi-Fi
fffe43004900440035003700390030003000,12,34.48,48679.07,6,Smartphone,Mobile_Data
fffe43004900440034003900360037003500,9,-615.344319,13131.05,13,Smartphone,Fiber_Optic
fffe43004900440035003200330039003300,13,283.49,7603.71,Error,Both,Wi-Fi
fffe43004900440033003600300039003900,3,33.82,39735.58,25,Desktop,Fiber_Optic
fffe43004900440031003400380035003700,20,156.06,4783.23,28.75639925,Smartphone,Mobile_Data
fffe43004900440031003300370038003600,12,31.67,25436.23,Error,Smartphone,Fiber_Optic
fffe43004900440032003000370036003500,4,157.03,22975.33,18,Smartphone,Mobile_Data
fffe43004900440036003100340031003200,11,227.23,29602.15,24,?,Mobile_Data
fffe43004900440035003200370036003800,4,457.33,20883.28,14,Desktop,Mobile_Data
fffe43004900440036003100320031003500,6,228.02,46353.54,19,?,Fiber_Optic
fffe43004900440035003300380039003800,18,42.77,8996.95,Error,Smartphone,Mobile_Data
fffe43004900440034003600300037003000,-999,207.52,12556.28,10,Desktop,Fiber_Optic
fffe43004900440032003900380032003200,13,98.57,2645.63,23,Desktop,Mobile_Data
fffe4300490044003600310037003500,23,176.31,8983.02,25,?,Wi-Fi
fffe43004900440034003300370037003900,17,687.16,29101.96,18,Both,Mobile_Data
fffe4300490044003900370038003700,-999,253.96,19233.1,25,Desktop,Wi-Fi
fffe43004900440036003100360034003700,13,119.1,44341.82,Error,Desktop,Fiber_Optic
fffe43004900440031003300350036003900,10,131.86,26399.43,17,?,Wi-Fi
fffe4300490044003800320038003900,19,65.39,17054.69,21,Desktop,Wi-Fi
fffe43004900440036003000340037003500,3,74.9,41612.23,28,?,Wi-Fi
fffe4300490044003500300038003000,20,-687.629574,42060.89,24,Smartphone,Mobile_Data
fffe43004900440031003700330037003700,9,97.74,32347.7,27,Desktop,Fiber_Optic
fffe43004900440031003700350038003600,13,135.21,3561.26,17,?,Mobile_Data
fffe4300490044003500360032003300,18,172.99,9044.15,8,Desktop,Wi-Fi
fffe43004900440034003700390034003800,13,254.72,11345.66,7,Smartphone,Fiber_Optic
fffe43004900440035003600370037003700,5,304.52,47658.52,29,Both,Fiber_Optic
fffe43004900440032003200300031003600,1,1316.52,2367.56,25,Both,Mobile_Data
fffe43004900440034003300320038003400,13,264.54,40756.7,26,Desktop,Wi-Fi
fffe43004900440033003200360036003700,12,191.41,25575.44,Error,Smartphone,Fiber_Optic
fffe4300490044003600360035003500,13,135.09,48819.9,8,Desktop,Wi-Fi
fffe43004900440031003000380030003600,12,123.37,13032.52,6,Smartphone,Fiber_Optic
fffe43004900440035003900310038003800,9,355.31,20457.22,5,Desktop,Fiber_Optic
fffe43004900440035003500340035003800,11,31.88,35414.54,20,Smartphone,Mobile_Data
fffe430049004400320030003200,14,125,38802.24,28,Smartphone,Wi-Fi
fffe4300490044003200300030003500,5,181.34,43554.96,1,Desktop,Fiber_Optic
fffe43004900440034003200320039003100,8,960.62,13954.02,17,Desktop,Mobile_Data
fffe43004900440034003500340034003700,24,48.59,28071.04,16,Desktop,Wi-Fi
fffe43004900440033003500390038003700,12,30.12,15027.14,12,Desktop,Wi-Fi
fffe43004900440031003900350034003100,21,727.69,4919.72,13,Desktop,Wi-Fi
fffe43004900440034003300380038003400,3,419.51,14661.42,Error,Both,Fiber_Optic
fffe43004900440033003300360030003500,8,899.04,49614.88,23,Both,Mobile_Data
fffe43004900440035003500320032003000,11,293.42,2521.3,Error,Desktop,Mobile_Data
fffe4300490044003800370035003000,10,934.3542198,11955.94,24,Desktop,Wi-Fi
fffe43004900440035003300340037003400,4,826.51,14877.24,25,Smartphone,Mobile_Data
fffe43004900440036003000360031003000,21,115.41,41156.81,27,Desktop,Mobile_Data
fffe43004900440032003200360039003100,7,481.45,4207.45,28,?,Wi-Fi
fffe43004900440032003900330030003500,14,148.95,2364.45,Error,Desktop,Mobile_Data
fffe43004900440034003100330032003800,21,357.45,29825.45,9,Smartphone,Mobile_Data
fffe43004900440035003100390039003900,21,1386.232857,9454.17,19,Desktop,Fiber_Optic
fffe43004900440032003600390031003200,15,96.14,11995.93,19,Desktop,Fiber_Optic
fffe43004900440035003500310037003800,10,428.05,6325.08,28,Both,Wi-Fi
fffe43004900440031003900340032003700,14,42.48,16098.94,21,Desktop,Wi-Fi
fffe43004900440034003900360039003100,24,33.91,23226.43,7,Smartphone,Wi-Fi
fffe43004900440031003600360035003600,8,1060.527979,10990.31,16,Desktop,Mobile_Data
fffe43004900440033003300300032003000,-999,1156.431904,32302.27,24,Desktop,Mobile_Data
fffe4300490044003700350032003900,7,187.91,17002.23,11,Smartphone,Mobile_Data
fffe43004900440036003100310034003400,10,284.09,48305.86,Error,Desktop,Mobile_Data
fffe4300490044003700390031003800,3,-494.0838771,40667.27,19,Desktop,Fiber_Optic
fffe43004900440031003300350032003600,20,-771.4156089,16186.76,8,Smartphone,Fiber_Optic
fffe43004900440036003300370038003900,12,109.76,46102.66,8,Desktop,Fiber_Optic
fffe43004900440035003300320036003000,-999,56.63,10171.97,23,Desktop,Wi-Fi
fffe430049004400380032003800,21,81.15,46109.6,17,Smartphone,Wi-Fi
fffe43004900440031003000340037003100,10,1195.732666,31504.62,10,Smartphone,Wi-Fi
fffe43004900440032003900340033003400,7,99.95,22865.42,21,?,Mobile_Data
fffe43004900440031003400320035003200,21,287.39,44809.68,27,Smartphone,Fiber_Optic
fffe43004900440033003200390033003300,-999,892.02,36394.44,26,Desktop,Fiber_Optic
fffe43004900440035003200300037003200,7,115.29,13019.31,14,Smartphone,Mobile_Data
fffe43004900440032003100350039003600,5,185.05,43833.54,15,Desktop,Fiber_Optic
fffe43004900440032003900310038003900,16,30.16,33886.44,5,Desktop,Mobile_Data
fffe4300490044003400360036003800,17,219.13,70247.76,3,Both,Fiber_Optic
fffe4300490044003500350035003600,8,400.35,30248.45,9,Smartphone,Wi-Fi
fffe43004900440034003200320032003900,20,49.24,39981.97,12,Desktop,Wi-Fi
fffe43004900440032003900320039003500,16,590.85,21919.13,14,Smartphone,Mobile_Data
fffe43004900440031003000350032003400,22,1142.148835,34918.7,6,Smartphone,Wi-Fi
fffe43004900440034003500370032003600,16,138.33,8025.77,29,Desktop,Mobile_Data
fffe43004900440034003800380031003700,7,516.46,45544.33,29,Smartphone,Mobile_Data
fffe43004900440031003100390030003600,19,211.19,2554.48,10,Desktop,Fiber_Optic
fffe43004900440032003100350031003700,19,942.84,49037.16,6,Desktop,Fiber_Optic
fffe43004900440033003500320032003800,10,267.45,32922.76,8,Smartphone,Fiber_Optic
fffe43004900440034003300330033003500,22,34.37,3862.41,10,Desktop,Wi-Fi
fffe43004900440035003000380035003100,19,213.34,8860.9,6,Desktop,Mobile_Data
fffe43004900440033003000380038003800,23,50.48,8944.54,25,?,Wi-Fi
fffe43004900440031003800310037003400,13,1044.243494,26060.01,22,Smartphone,Wi-Fi
fffe4300490044003900360034003300,-999,628.79,33199.52,22,Both,Mobile_Data
fffe43004900440033003700330038003900,17,56.58,41050.72,15,?,Mobile_Data
fffe4300490044003700390035003600,11,172.07,23587.32,28,Smartphone,Fiber_Optic
fffe4300490044003600370030003000,6,44.99,3087.16,8,Desktop,Wi-Fi
fffe43004900440034003200330034003300,11,144.33,54420.14,5,Smartphone,Mobile_Data
fffe43004900440033003100330037003500,7,787.74,20129.88,12,Both,Fiber_Optic
fffe43004900440031003400340038003900,26,30.49,37139.89,20,?,Fiber_Optic
fffe43004900440031003500340038003200,8,400.21,33996.1,38.47159929,Both,Wi-Fi
fffe43004900440035003100340035003600,13,103.36,39610.89,10,Smartphone,Fiber_Optic
fffe43004900440031003500310037003100,8,58.15,27995.24,18,Smartphone,Mobile_Data
fffe43004900440032003800340036003700,10,862.2,35895.98,21,Smartphone,Wi-Fi
fffe43004900440033003100330031003800,9,412.22,1313.11,18,Desktop,Wi-Fi
fffe4300490044003800360039003000,19,222.69,18297.21,2,Smartphone,Wi-Fi
fffe43004900440034003900370036003600,16,283.85,3888.65,18,Smartphone,Wi-Fi
fffe43004900440034003600320035003100,17,136.19,6965.48,5,Desktop,Fiber_Optic
fffe4300490044003500390031003900,5,32.29,63097.55,-12.71431053,Smartphone,Wi-Fi
fffe43004900440033003800330039003500,12,145.45,48500.63,11,Desktop,Wi-Fi
fffe43004900440034003600300036003500,10,313.84,23211.35,15,Smartphone,Fiber_Optic
fffe43004900440034003800350037003600,11,254.72,28425.26,11,Smartphone,Wi-Fi
fffe43004900440034003800350030003800,9,206.56,13037.39,13,Desktop,Fiber_Optic
fffe43004900440031003600370032003000,21,51.75,27564.76,24,Smartphone,Wi-Fi
fffe43004900440031003100390038003500,10,117.9,49537.82,7,Smartphone,Fiber_Optic
fffe43004900440033003400390039003500,2,484.45,83453.57,14,?,Mobile_Data
fffe43004900440034003700350039003700,6,32.89,16340.59,-1.590067118,Smartphone,Wi-Fi
fffe43004900440033003300300036003600,15,77.18,49448.05,5,Desktop,Mobile_Data
fffe4300490044003800350036003200,8,60.77,45095.33,1.234738899,Desktop,Wi-Fi
fffe43004900440031003400300031003000,15,197.85,42084.72,18,Smartphone,Mobile_Data
fffe43004900440031003100330038003300,11,502.4,4714.82,24,Both,Mobile_Data
fffe43004900440032003000390033003700,6,33.96,6175.77,22,Smartphone,Fiber_Optic
fffe43004900440032003700370032003400,13,617.09,33226.66,17,Both,Mobile_Data
fffe43004900440032003000350037003100,9,34.93,42965.53,29,Desktop,Fiber_Optic
fffe43004900440034003800320032003500,20,198.19,20710,10,Desktop,Fiber_Optic
fffe43004900440034003000330030003100,11,317.25,17951.87,17,Desktop,Wi-Fi
fffe4300490044003600340034003500,5,876.87,41927.46,17,?,Fiber_Optic
fffe43004900440031003100370036003600,8,133.36,21896.63,13,?,Wi-Fi
fffe43004900440034003900300031003800,8,522.81,27264,11,?,Fiber_Optic
fffe43004900440034003600370035003600,10,33.34,46392.24,24,Desktop,Fiber_Optic
fffe4300490044003400320037003600,5,84.05,10423.83,29,Smartphone,Fiber_Optic
fffe43004900440035003100360037003500,19,69.22,14117.54,12,Desktop,Wi-Fi
fffe43004900440031003500340033003500,14,32.16,67458.29,-13.64684955,Desktop,Mobile_Data
fffe43004900440034003200320038003000,20,692.73,18404.11,19,Both,Wi-Fi
fffe4300490044003300350035003900,12,261.76,15786.32,Error,Both,Mobile_Data
fffe43004900440035003700350035003200,14,38.65,1225.14,9,Smartphone,Mobile_Data
fffe43004900440033003700370038003500,16,182.16,43782.88,Error,Smartphone,Wi-Fi
fffe43004900440036003300340038003900,20,31.98,14432.03,24,Smartphone,Fiber_Optic
fffe43004900440035003300360034003900,12,283.79,38527.24,26,?,Mobile_Data
fffe43004900440031003100310031003200,9,1185.91225,29872.64,8,Both,Mobile_Data
fffe43004900440033003500380038003500,17,329.16,37811.56,27,Smartphone,Mobile_Data
fffe43004900440033003600350035003300,7,700.63,26571.36,13,Both,Fiber_Optic
fffe4300490044003500390034003900,3,166.57,45964.8,17,Smartphone,Wi-Fi
fffe43004900440032003900340036003200,12,126.05,43632.02,16,Smartphone,Fiber_Optic
fffe43004900440033003400330035003100,11,428.35,26483.73,14,Desktop,Fiber_Optic
fffe43004900440031003200360032003900,16,148.06,15456.63,29,?,Wi-Fi
fffe43004900440034003800390033003300,15,196.56,1246.57,22,Desktop,Fiber_Optic
fffe43004900440032003300340033003400,10,359.98,38699.34,29,Desktop,Wi-Fi
fffe4300490044003200340033003500,22,32.47,25468.76,Error,Desktop,Mobile_Data
fffe43004900440035003000310035003300,22,177.73,35286.1,Error,Smartphone,Fiber_Optic
fffe43004900440032003400370031003700,9,493.22,20294,23,Smartphone,Fiber_Optic
fffe43004900440035003400350034003400,4,316.14,13516.16,20,?,Mobile_Data
fffe43004900440031003400350031003600,19,107.18,16027.34,4,Desktop,Mobile_Data
fffe43004900440031003300370037003600,22,108.2,2998.4,26,?,Wi-Fi
fffe43004900440032003900300038003600,11,-900.2103186,14865.87,25,Desktop,Mobile_Data
fffe43004900440031003900350031003500,5,407.97,19138.74,12,Both,Wi-Fi
fffe43004900440035003000360035003400,6,308.28,38497.78,21,Smartphone,Fiber_Optic
fffe43004900440032003700360038003000,7,67.78,14175.2,Error,Desktop,Mobile_Data
fffe43004900440035003700350039003900,5,732.71,47547.72,15,Desktop,Mobile_Data
fffe43004900440032003100390037003700,22,188.96,40428.78,23,Desktop,Fiber_Optic
fffe43004900440035003900330039003200,21,32.82,46250.9,2,Desktop,Wi-Fi
fffe4300490044003700310034003900,17,1099.5,95625.4,13,Both,Fiber_Optic
fffe43004900440035003700340030003200,15,547.87,36383.39,4,Desktop,Fiber_Optic
fffe43004900440034003700310037003300,14,80.4,15214.2,16,Desktop,Mobile_Data
fffe43004900440032003100380037003400,8,179.84,39667.91,10,Desktop,Wi-Fi
fffe4300490044003500370039003200,10,731.24,36981.7,26,Desktop,Wi-Fi
fffe43004900440031003100310039003300,13,49.19,35209.09,10,?,Wi-Fi
fffe43004900440034003400310033003300,15,30.66,15079.52,23,Smartphone,Fiber_Optic
fffe43004900440032003800320035003100,7,34.49,31418.7,Error,Desktop,Fiber_Optic
fffe43004900440035003700340036003400,17,117.11,29114.92,Error,Desktop,Mobile_Data
fffe43004900440031003700350039003400,-999,93.76,28456.92,5,?,Wi-Fi
fffe43004900440033003300390032003500,-999,121.38,13374.01,12,Desktop,Wi-Fi
fffe43004900440033003800,10,445.01,37220.97,Error,Both,Mobile_Data
fffe4300490044003200350038003700,10,628.79,40093.14,55.01616857,Smartphone,Mobile_Data
fffe43004900440034003500350039003700,11,31.45,18606.73,24,Desktop,Fiber_Optic
fffe43004900440035003700350035003100,24,38.88,41019.89,19,Smartphone,Wi-Fi
fffe43004900440033003200330032003500,12,85.52,10636.13,5,Smartphone,Wi-Fi
fffe43004900440033003200340037003600,22,1097.82189,27380.8,27,?,Mobile_Data
fffe43004900440033003200380037003800,8,322.3,14310.09,11,Desktop,Wi-Fi
fffe4300490044003300300037003300,13,31.2,37295.99,25,?,Wi-Fi
fffe43004900440031003200330031003000,11,38.63,23832.38,Error,Smartphone,Fiber_Optic
fffe43004900440033003000370032003000,12,291.94,97643.81,5,Smartphone,Fiber_Optic
fffe43004900440033003300370030003600,-999,343.13,32605.84,16,Desktop,Wi-Fi
fffe43004900440031003500310032003100,19,180.37,21460.83,27,Smartphone,Fiber_Optic
fffe43004900440034003000310039003600,23,31.81,36494.51,24,?,Mobile_Data
fffe43004900440036003100350030003400,12,31.86,21842.03,19,Smartphone,Mobile_Data
fffe43004900440032003000380034003200,5,428.81,40698.54,9,?,Mobile_Data
fffe43004900440032003800370031003300,17,97.85,31574.54,28,?,Wi-Fi
fffe4300490044003700320031003500,19,1223.769011,47756.12,15,Desktop,Fiber_Optic
fffe43004900440034003200320035003800,15,1090.92,12483.66,2,Smartphone,Mobile_Data
fffe43004900440036003300380039003500,13,402.05,20411.69,15,Smartphone,Mobile_Data
fffe43004900440031003100350030003300,2,33.18,24394.24,16,Desktop,Mobile_Data
fffe43004900440035003900380039003400,9,54.08,19078.81,17,Smartphone,Fiber_Optic
fffe4300490044003400300033003500,9,-408.2693519,36532.11,16,Both,Fiber_Optic
fffe43004900440034003600350034003300,5,106.24,47511.49,11,Smartphone,Fiber_Optic
fffe43004900440035003100310035003700,15,46.22,35937.37,6,Desktop,Mobile_Data
fffe43004900440032003000330033003600,15,45.45,47218.23,29,?,Fiber_Optic
fffe43004900440035003200310035003300,2,67.48,47619.23,10,Smartphone,Fiber_Optic
fffe43004900440032003000310039003200,2,226.47,27477.44,16,Smartphone,Wi-Fi
fffe43004900440031003000320034003100,9,714.55,10779.16,23,Smartphone,Fiber_Optic
fffe43004900440031003700390039003300,16,125.89,77291.02,1,Desktop,Wi-Fi
fffe43004900440033003300380030003500,17,112.9,20038.77,12,Smartphone,Mobile_Data
fffe43004900440032003200380038003400,19,105.91,46063.59,6,Smartphone,Fiber_Optic
fffe4300490044003900360035003200,9,154.43,11333.18,18,Smartphone,Wi-Fi
fffe43004900440032003700320035003300,10,589.12,36545.91,12,Desktop,Wi-Fi
fffe43004900440035003200370035003500,17,174.48,40594.31,Error,Desktop,Mobile_Data
fffe43004900440033003000320033003600,16,43.58,23397.98,8,Smartphone,Wi-Fi
fffe43004900440034003200320037003700,9,32.91,11023.03,Error,Desktop,Fiber_Optic
fffe43004900440036003300360034003700,20,100.33,34614.42,15,Desktop,Wi-Fi
fffe43004900440031003200310034003500,11,449.03,33430.37,14,Desktop,Mobile_Data
fffe43004900440035003900300033003900,7,43.78,17353.48,21,Smartphone,Wi-Fi
fffe43004900440033003000300030003200,13,188.21,7375.39,16,Desktop,Wi-Fi
fffe4300490044003700360033003300,10,32.13,35792.72,27,Smartphone,Fiber_Optic
fffe43004900440032003400320039003300,19,154.58,3612.98,24,Desktop,Mobile_Data
fffe4300490044003800350039003800,11,145.59,13518.27,12,?,Fiber_Optic
fffe43004900440035003400380030003300,14,233.72,15596.42,14,Desktop,Wi-Fi
fffe43004900440033003100330032003200,15,304.09,32189.63,7,Desktop,Mobile_Data
fffe43004900440031003300380032003500,14,163.99,27114.49,29,?,Wi-Fi
fffe43004900440032003500360031003300,8,255.4,13608.16,16,Both,Fiber_Optic
fffe43004900440036003300390032003100,12,488,20417.72,10,Desktop,Wi-Fi
fffe43004900440035003700390036003500,13,39.62,46139.37,16,Smartphone,Mobile_Data
fffe43004900440035003800380031003600,17,110.59,12478.19,21,Desktop,Wi-Fi
fffe4300490044003100350031003400,6,1600.12,15610.96,13,Both,Fiber_Optic
fffe43004900440032003400380038003200,9,54.12,24610.29,10,Smartphone,Wi-Fi
fffe43004900440036003300340035003600,6,633.62,58077.98,7,Smartphone,Fiber_Optic
fffe43004900440033003100350037003200,9,55.29,12574.16,18,Desktop,Wi-Fi
fffe43004900440033003900320030003500,26,936.34,30998.94,29,Desktop,Fiber_Optic
fffe43004900440034003900310035003400,6,352.25,31444.17,10,Smartphone,Mobile_Data
fffe43004900440034003800390034003000,18,128.93,66961.7,19,Smartphone,Fiber_Optic
fffe43004900440035003200340036003600,20,38.56,16717.72,28,Smartphone,Fiber_Optic
fffe43004900440033003000300031003000,7,220.07,45054.8,12,Desktop,Fiber_Optic
fffe43004900440031003000390039003300,21,31.66,5643.14,11,?,Wi-Fi
fffe43004900440035003900380035003000,9,1053.12,15799.78,28,Desktop,Mobile_Data
fffe43004900440031003700370037003100,11,263.58,34046.4,9,Both,Mobile_Data
fffe43004900440035003500350035003700,12,282.88,40612.89,28,Desktop,Mobile_Data
fffe43004900440031003600310038003000,14,142.87,43660.25,29,Desktop,Wi-Fi
fffe43004900440031003700310035003300,12,-604.024795,47001.28,8,Smartphone,Mobile_Data
fffe43004900440031003400340039003600,15,120.5,4165.97,17,?,Mobile_Data
fffe4300490044003500390036003500,20,103.42,36445.77,Error,Desktop,Mobile_Data
fffe43004900440032003600370037003600,7,248.72,33879.22,26,Smartphone,Wi-Fi
fffe43004900440034003000300039003700,-999,58.73,39995.8,28,Desktop,Fiber_Optic
fffe4300490044003100340031003500,10,129.09,25893.09,19,Smartphone,Mobile_Data
fffe43004900440036003200380030003200,2,392.09,13706.85,7,Smartphone,Wi-Fi
fffe43004900440035003100390034003900,9,164.87,49628.7,15,Smartphone,Mobile_Data
fffe4300490044003600350039003100,3,280.47,25452.4,18,Smartphone,Fiber_Optic
fffe43004900440032003500360038003000,12,126.63,44732.67,20,Smartphone,Mobile_Data
fffe43004900440034003700320030003600,15,850.5036092,17373.46,13,Desktop,Fiber_Optic
fffe43004900440031003700330035003900,11,376.93,31089.9,25,Desktop,Mobile_Data
fffe43004900440034003300320031003600,13,619.2,44015.54,9,Both,Fiber_Optic
fffe43004900440032003900370033003100,5,165.92,46167.97,23,Desktop,Mobile_Data
fffe43004900440031003300370035003300,15,202.73,23566.49,3,Desktop,Fiber_Optic
fffe4300490044003400380038003800,13,641.9,11203.68,Error,?,Mobile_Data
fffe4300490044003800390039003600,14,766.04,44858.07,18,Smartphone,Mobile_Data
fffe4300490044003600360034003100,23,1000.987122,45893.91,14,Desktop,Wi-Fi
fffe43004900440034003000310036003200,7,792.59,44496.31,19,Smartphone,Mobile_Data
fffe43004900440034003700360032003500,12,629.37,23602.1,11,Desktop,Wi-Fi
fffe43004900440034003200350038003100,22,56.28,6124.94,15,Smartphone,Fiber_Optic
fffe43004900440033003600330032003800,20,200.46,40236.57,21,Smartphone,Mobile_Data
fffe43004900440033003400360030003500,16,1262.444589,12163.94,11,Smartphone,Mobile_Data
fffe4300490044003300360036003900,14,299.27,7015.77,20,Smartphone,Mobile_Data
fffe4300490044003400390037003500,20,260.92,70639.99,-5.339638902,Smartphone,Mobile_Data
fffe43004900440035003100340039003500,15,30.58,38036.67,29,Smartphone,Wi-Fi
fffe43004900440032003900330036003400,16,34.61,45824.46,12,?,Mobile_Data
fffe4300490044003100320030003100,11,177.42,6280.96,20,Smartphone,Fiber_Optic
fffe43004900440031003000350036003500,15,33.77,32673.05,21,Desktop,Wi-Fi
fffe43004900440035003400310030003500,15,33.5,50085.74,4,Desktop,Wi-Fi
fffe43004900440035003600320035003700,8,62.53,23123.43,22,Smartphone,Wi-Fi
fffe43004900440032003700370034003700,15,583.96,38477.8,13,Smartphone,Mobile_Data
fffe43004900440035003300360032003100,9,315.37,28202.86,19,Smartphone,Mobile_Data
fffe43004900440035003800300032003300,14,146.24,2203.18,15,Smartphone,Wi-Fi
fffe43004900440036003000380032003500,20,103.51,21574,5,Desktop,Wi-Fi
fffe4300490044003700370038003800,19,-739.6765749,1808.39,22,Smartphone,Wi-Fi
fffe43004900440034003900350036003500,12,142.34,38249.21,23,?,Fiber_Optic
fffe43004900440031003200360031003100,4,-431.0821631,9508.56,20,Both,Fiber_Optic
fffe43004900440032003800310036003300,14,86.25,31792.97,9,Desktop,Mobile_Data
fffe43004900440031003400310038003600,-999,78.93,49093.95,28,Smartphone,Mobile_Data
fffe430049004400320038003700,8,122.17,12440.72,5,Desktop,Fiber_Optic
fffe43004900440033003900360039003000,6,1482.53,13626.01,23,Smartphone,Wi-Fi
fffe43004900440036003000390031003300,1,385.72,18512.96,Error,Desktop,Wi-Fi
fffe4300490044003800320037003400,14,91.7,23406.99,Error,Smartphone,Wi-Fi
fffe43004900440031003300350038003500,24,31.84,11412.83,53.5713734,Smartphone,Wi-Fi
fffe43004900440033003200320032003100,12,30.36,46548.07,15,Smartphone,Fiber_Optic
fffe43004900440035003600380037003800,13,32.62,47228.58,12,Smartphone,Mobile_Data
fffe43004900440033003900340039003300,4,150.97,85750.12,6,Desktop,Wi-Fi
fffe43004900440034003400340037003600,-999,94.2,56741.77,11,Desktop,Fiber_Optic
fffe4300490044003700340034003200,2,163.43,5843.93,5,Smartphone,Mobile_Data
